ADDRESS_TYPE,X_COORD,Y_COORD,LATITUDE,LONGITUDE,ADDRESS_NUMBER_PREFIX,ADDRESS_NUMBER,ADDRESS_NUMBER_SUFFIX,PREMODIFIER,PREDIRECTIONAL,STREET_NAME,POSTTYPE,POSTDIRECTIONAL,POSTMODIFIER,BUILDING_TYPE,BUILDING_IDENTIFIER,UNIT_TYPE,UNIT_IDENTIFIER,COMPOSITE_UNIT_TYPE,COMPOSIT_UNIT_IDENTIFIER,FULL_ADDRESS
S,3140780.0,1700782.0,39.75638652,-104.99927983,None,1975.0,None,None,None,19th,St,None,None,None,None,Unit,5044,Unit,5044,1975 19th St Unit 5044
S,3140780.0,1700782.0,39.75638652,-104.99927983,None,1975.0,None,None,None,19th,St,None,None,None,None,Unit,3007,Unit,3007,1975 19th St Unit 3007
S,3140780.0,1700782.0,39.75638652,-104.99927983,None,1975.0,None,None,None,19th,St,None,None,None,None,Unit,5059,Unit,5059,1975 19th St Unit 5059
S,3166276.0,1653236.0,39.62544153,-104.90969814,None,4855.0,None,None,S,Niagara,St,None,None,None,None,Unit,123,Unit,123,4855 S Niagara St Unit 123
S,3140780.0,1700782.0,39.75638652,-104.99927983,None,1975.0,None,None,None,19th,St,None,None,None,None,Unit,5001,Unit,5001,1975 19th St Unit 5001
S,3140780.0,1700782.0,39.75638652,-104.99927983,None,1975.0,None,None,None,19th,St,None,None,None,None,Unit,5037,Unit,5037,1975 19th St Unit 5037
S,3140780.0,1700782.0,39.75638652,-104.99927983,None,1975.0,None,None,None,19th,St,None,None,None,None,Unit,5054,Unit,5054,1975 19th St Unit 5054
S,3140780.0,1700782.0,39.75638652,-104.99927983,None,1975.0,None,None,None,19th,St,None,None,None,None,Unit,3009,Unit,3009,1975 19th St Unit 3009
S,3140780.0,1700782.0,39.75638652,-104.99927983,None,1975.0,None,None,None,19th,St,None,None,None,None,Unit,4039,Unit,4039,1975 19th St Unit 4039
S,3166277.0,1653278.0,39.62555749,-104.90969403,None,4855.0,None,None,S,Niagara,St,None,None,None,None,Unit,122,Unit,122,4855 S Niagara St Unit 122
S,3140780.0,1700782.0,39.75638652,-104.99927983,None,1975.0,None,None,None,19th,St,None,None,None,None,Unit,5005,Unit,5005,1975 19th St Unit 5005
S,3166230.0,1653475.0,39.62610001,-104.90985514,None,4855.0,None,None,S,Niagara,St,None,None,None,None,Unit,509,Unit,509,4855 S Niagara St Unit 509
S,3140780.0,1700782.0,39.75638652,-104.99927983,None,1975.0,None,None,None,19th,St,None,None,None,None,Unit,3017,Unit,3017,1975 19th St Unit 3017
S,3166208.0,1653303.0,39.62562669,-104.90993921,None,4855.0,None,None,S,Niagara,St,None,None,None,None,Unit,319,Unit,319,4855 S Niagara St Unit 319
S,3140780.0,1700782.0,39.75638652,-104.99927983,None,1975.0,None,None,None,19th,St,None,None,None,None,Unit,4021,Unit,4021,1975 19th St Unit 4021
S,3140780.0,1700782.0,39.75638652,-104.99927983,None,1975.0,None,None,None,19th,St,None,None,None,None,Unit,5002,Unit,5002,1975 19th St Unit 5002
S,3140780.0,1700782.0,39.75638652,-104.99927983,None,1975.0,None,None,None,19th,St,None,None,None,None,Unit,4072,Unit,4072,1975 19th St Unit 4072
S,3158172.0,1673124.0,39.68018084,-104.93802986,None,2000.0,None,None,S,Colorado,Blvd,None,None,Bldg,IV,Unit,1513,Unit,IV-1513,2000 S Colorado Blvd Bldg IV Unit 1513
S,3158067.0,1673227.0,39.68046623,-104.93840117,None,2000.0,None,None,S,Colorado,Blvd,None,None,Bldg,IV,Unit,313,Unit,IV-313,2000 S Colorado Blvd Bldg IV Unit 313
S,3158137.0,1673137.0,39.68021618,-104.93815403,None,2000.0,None,None,S,Colorado,Blvd,None,None,Bldg,IV,Unit,1015,Unit,IV-1015,2000 S Colorado Blvd Bldg IV Unit 1015
S,3158251.0,1673110.0,39.68014023,-104.93775101,None,2000.0,None,None,S,Colorado,Blvd,None,None,Bldg,IV,Unit,1805,Unit,IV-1805,2000 S Colorado Blvd Bldg IV Unit 1805
L,3157226.0,1686747.0,39.71759501,-104.94109385,None,98.0,None,None,N,Harrison,St,None,None,None,None,None,None,None,None,98 N Harrison St
S,3158114.0,1673140.0,39.68022609,-104.93823496,None,2000.0,None,None,S,Colorado,Blvd,None,None,Bldg,IV,Unit,1017,Unit,IV-1017,2000 S Colorado Blvd Bldg IV Unit 1017
S,3158222.0,1673116.0,39.68015738,-104.93785231,None,2000.0,None,None,S,Colorado,Blvd,None,None,Bldg,IV,Unit,2009,Unit,IV-2009,2000 S Colorado Blvd Bldg IV Unit 2009
S,3145260.0,1699619.0,39.75312632,-104.98337091,None,780.0,None,None,None,24th,St,None,None,None,None,None,None,None,None,780 24th St
S,3206984.0,1714868.0,39.79381743,-104.7634121,None,5472.0,None,None,N,Danube,St,None,None,None,None,None,None,None,None,5472 N Danube St
S,3207049.0,1714708.0,39.79337598,-104.76318505,None,5448.0,None,None,N,Danube,St,None,None,None,None,None,None,None,None,5448 N Danube St
S,3145201.0,1699580.0,39.7530206,-104.98358008,None,2366.0,None,None,None,Stout,St,None,None,None,None,None,None,None,None,2366 Stout St
S,3205584.0,1715674.0,39.79606119,-104.76837026,None,5513.0,None,None,N,Bahama,St,None,None,None,None,None,None,None,None,5513 N Bahama St
S,3206985.0,1714578.0,39.7930214,-104.76341676,None,5438.0,None,None,N,Danube,St,None,None,None,None,None,None,None,None,5438 N Danube St
S,3113610.0,1649801.0,39.61680196,-105.09672022,None,8785.0,None,None,W,Berry,Ave,None,None,None,None,Apt,103,Apt,103,8785 W Berry Ave Apt 103
S,3113691.0,1650097.0,39.61761482,-105.09642914,None,8761.0,None,None,W,Berry,Ave,None,None,None,None,Apt,203,Apt,203,8761 W Berry Ave Apt 203
S,3113763.0,1649771.0,39.6167181,-105.09617794,None,8745.0,None,None,W,Berry,Ave,None,None,None,None,Apt,201,Apt,201,8745 W Berry Ave Apt 201
S,3114087.0,1649832.0,39.6168818,-105.09502501,None,8655.0,None,None,W,Berry,Ave,None,None,None,None,Apt,201,Apt,201,8655 W Berry Ave Apt 201
S,3206328.0,1714878.0,39.7938583,-104.76574348,None,19130.0,None,None,E,54th,Pl,None,None,None,None,None,None,None,None,19130 E 54th Pl
S,3205580.0,1715715.0,39.79617369,-104.76838416,None,5519.0,None,None,N,Bahama,St,None,None,None,None,None,None,None,None,5519 N Bahama St
S,3140147.0,1700321.0,39.75513025,-105.00153948,None,1770.0,None,None,None,Chestnut,Pl,None,None,None,None,Unit,1305,Unit,1305,1770 Chestnut Pl Unit 1305
S,3145216.0,1699592.0,39.75305253,-104.98352505,None,2376.0,None,None,None,Stout,St,None,None,None,None,None,None,None,None,2376 Stout St
S,3130779.0,1683607.0,39.70938283,-105.03516434,None,3600.0,None,None,None,Morrison,Rd,None,None,None,None,None,None,None,None,3600 Morrison Rd
S,3207049.0,1714591.0,39.79305571,-104.76318657,None,5440.0,None,None,N,Danube,St,None,None,None,None,None,None,None,None,5440 N Danube St
S,3207047.0,1714974.0,39.79410554,-104.76318356,None,5490.0,None,None,N,Danube,St,None,None,None,None,None,None,None,None,5490 N Danube St
S,3206880.0,1714558.0,39.79296903,-104.76379143,None,5437.0,None,None,N,Danube,St,None,None,None,None,None,None,None,None,5437 N Danube St
S,3205579.0,1715755.0,39.79628224,-104.7683847,None,5523.0,None,None,N,Bahama,St,None,None,None,None,None,None,None,None,5523 N Bahama St
S,3206071.0,1715061.0,39.79436632,-104.76665493,None,19060.0,None,None,E,54th,Pl,None,None,None,None,None,None,None,None,19060 E 54th Pl
S,3206984.0,1714634.0,39.79317583,-104.76341699,None,5444.0,None,None,N,Danube,St,None,None,None,None,None,None,None,None,5444 N Danube St
S,3206305.0,1714895.0,39.79390603,-104.76582727,None,19128.0,None,None,E,54th,Pl,None,None,None,None,None,None,None,None,19128 E 54th Pl
S,3205647.0,1715485.0,39.79554039,-104.76815123,None,5473.0,None,None,N,Bahama,St,None,None,None,None,None,None,None,None,5473 N Bahama St
S,3205630.0,1715527.0,39.79565705,-104.76821032,None,5483.0,None,None,N,Bahama,St,None,None,None,None,None,None,None,None,5483 N Bahama St
S,3158281.0,1673104.0,39.68012291,-104.93764553,None,2000.0,None,None,S,Colorado,Blvd,None,None,Bldg,IV,Unit,2103,Unit,IV-2103,2000 S Colorado Blvd Bldg IV Unit 2103
S,3158233.0,1673114.0,39.68015141,-104.93781429,None,2000.0,None,None,S,Colorado,Blvd,None,None,Bldg,IV,Unit,1007,Unit,IV-1007,2000 S Colorado Blvd Bldg IV Unit 1007
L,3147625.0,1704633.0,39.76685304,-104.97485518,None,3455.0,None,None,None,Larimer,St,None,None,None,None,None,None,None,None,3455 Larimer St
L,3144594.0,1701350.0,39.7578887,-104.98570273,None,2528.0,None,None,None,Larimer,St,None,None,None,None,None,None,None,None,2528 Larimer St
S,3157078.0,1689189.0,39.72430003,-104.94156735,None,503.0,None,None,N,Harrison,St,None,None,None,None,None,None,None,None,503 N Harrison St
S,3141740.0,1686730.0,39.71779658,-104.99614196,None,70.0,None,None,N,Galapago,St,None,None,None,None,Unit,102,Unit,102,70 N Galapago St Unit 102
L,3131308.0,1694730.0,39.73991159,-105.03307939,None,1476.0,None,None,N,King,St,None,None,None,None,None,None,None,None,1476 N King St
S,3141769.0,1686730.0,39.71779643,-104.99604013,None,70.0,None,None,N,Galapago,St,None,None,None,None,Unit,104,Unit,104,70 N Galapago St Unit 104
S,3141755.0,1686730.0,39.71779607,-104.99609049,None,70.0,None,None,N,Galapago,St,None,None,None,None,Unit,103,Unit,103,70 N Galapago St Unit 103
L,3146232.0,1699563.0,39.75295573,-104.97991361,None,2510.0,None,None,None,Welton,St,None,None,None,None,None,None,None,None,2510 Welton St
S,3144877.0,1701722.0,39.75890321,-104.98468853,None,2626.0,None,None,None,Larimer,St,None,None,None,None,None,None,None,None,2626 Larimer St
S,3141801.0,1686730.0,39.71779651,-104.99592534,None,70.0,None,None,N,Galapago,St,None,None,None,None,Unit,107,Unit,107,70 N Galapago St Unit 107
S,3131706.0,1695100.0,39.74092165,-105.031659,None,1515.0,None,None,N,Julian,St,None,None,None,None,Ste,106,Ste,106,1515 N Julian St Ste 106
L,3149186.0,1704314.0,39.76595182,-104.96930895,None,3506.0,None,None,N,Humboldt,St,None,None,None,None,None,None,None,None,3506 N Humboldt St
S,3149840.0,1705332.0,39.76873607,-104.96696187,None,3724.0,None,None,N,Gilpin,St,None,None,None,None,None,None,None,None,3724 N Gilpin St
S,3147466.0,1701088.0,39.75712337,-104.97549353,None,2915.0,None,None,None,Welton,St,None,None,None,None,None,None,None,None,2915 Welton St
S,3153003.0,1694898.0,39.74004046,-104.95593285,None,2608.0,None,None,E,Colfax,Ave,None,None,None,None,None,None,None,None,2608 E Colfax Ave
S,3131704.0,1695179.0,39.741139,-105.03166347,None,1515.0,None,None,N,Julian,St,None,None,None,None,Ste,100,Ste,100,1515 N Julian St Ste 100
L,3156161.0,1708831.0,39.77823715,-104.9443995,None,4433.0,None,None,N,Garfield,St,None,None,None,None,None,None,None,None,4433 N Garfield St
S,3147172.0,1700578.0,39.7557279,-104.97655049,None,2800.0,None,None,None,Welton,St,None,None,None,None,None,None,None,None,2800 Welton St
L,3169051.0,1706416.0,39.77138369,-104.89859678,None,7755.0,None,None,E,Smith,Rd,None,None,None,None,None,None,None,None,7755 E Smith Rd
L,3146689.0,1707392.0,39.77444109,-104.97812829,None,3748.0,None,None,None,Arkins,Ct,None,None,None,None,None,None,None,None,3748 Arkins Ct
L,3150337.0,1702614.0,39.7612676,-104.96524946,None,3123.0,None,None,N,High,St,None,None,None,None,None,None,None,None,3123 N High St
L,3150527.0,1710852.0,39.78387887,-104.96440025,None,4800.0,None,None,N,High,St,None,None,None,None,None,None,None,None,4800 N High St
L,3149552.0,1702697.0,39.76150703,-104.96804071,None,3136.0,None,None,N,Franklin,St,None,None,None,None,None,None,None,None,3136 N Franklin St
S,3143618.0,1670155.0,39.67226692,-104.98979785,None,2442.0,None,None,S,Bannock,St,None,None,None,None,None,None,None,None,2442 S Bannock St
S,3147189.0,1700596.0,39.75577612,-104.97648996,None,2804.0,None,None,None,Welton,St,None,None,None,None,None,None,None,None,2804 Welton St
L,3146731.0,1707473.0,39.77466304,-104.97797658,None,2060.0,None,None,None,38th,St,None,None,None,None,None,None,None,None,2060 38th St
U,3170525.0,1687561.0,39.71959575,-104.89380034,None,7746.0,None,None,E,Academy,Pl,None,None,None,None,None,None,None,None,7746 E Academy Pl
S,3150245.0,1673843.0,39.68228553,-104.96618055,None,1894.0,None,None,S,Williams,St,None,None,None,None,None,None,None,None,1894 S Williams St
S,3150242.0,1673830.0,39.68224911,-104.96618916,None,1896.0,None,None,S,Williams,St,None,None,None,None,None,None,None,None,1896 S Williams St
S,3150243.0,1673869.0,39.68235777,-104.9661871,None,1890.0,None,None,S,Williams,St,None,None,None,None,None,None,None,None,1890 S Williams St
S,3150242.0,1673863.0,39.6823399,-104.96618847,None,1892.0,None,None,S,Williams,St,None,None,None,None,None,None,None,None,1892 S Williams St
L,3143315.0,1697107.0,39.74626023,-104.9903365,None,1720.0,None,None,None,California,St,None,None,None,None,None,None,None,None,1720 California St
S,3134653.0,1699664.0,39.7534085,-105.02109109,None,2704.0,None,None,W,25th,Ave,None,None,None,None,None,None,None,None,2704 W 25th Ave
L,3154598.0,1687098.0,39.71860167,-104.9504298,None,142.0,None,None,N,Saint Paul,St,None,None,None,None,None,None,None,None,142 N Saint Paul St
L,3143171.0,1697203.0,39.74652592,-104.9908463,None,1711.0,None,None,None,California,St,None,None,None,None,None,None,None,None,1711 California St
U,3165124.0,1684428.0,39.71109258,-104.91307362,None,301.0,None,None,S,Monaco Street,Pkwy,None,None,None,None,None,None,None,None,301 S Monaco Street Pkwy
U,3165124.0,1684428.0,39.71109258,-104.91307362,None,3201.0,None,None,N,Monaco Street,Pkwy,None,None,None,None,None,None,None,None,3201 N Monaco Street Pkwy
S,3134654.0,1699582.0,39.75318445,-105.02108985,None,2714.0,None,None,W,25th,Ave,None,None,None,None,None,None,None,None,2714 W 25th Ave
U,3183577.0,1710437.0,39.7821447,-104.84681949,None,4696.0,None,None,N,Peoria,St,None,None,None,None,None,None,None,None,4696 N Peoria St
S,3169719.0,1675018.0,39.68517681,-104.89696334,None,1699.0,None,None,S,Trenton,St,None,None,None,None,Unit,2,Unit,2,1699 S Trenton St Unit 2
S,3169541.0,1675011.0,39.68516162,-104.89759472,None,1699.0,None,None,S,Trenton,St,None,None,None,None,Unit,17,Unit,17,1699 S Trenton St Unit 17
S,3169288.0,1674608.0,39.68405919,-104.89850375,None,1699.0,None,None,S,Trenton,St,None,None,None,None,Unit,173,Unit,173,1699 S Trenton St Unit 173
